Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
bladeTrap,blocks,Electricity,,,Blade Trap,,,,,,,,,,,,,,
bladeTrapDesc,blocks,Electricity,,,Used to chop up zombies into many pieces. Just add zombies and stir.,,,,,,,,,,,,,,
hardenedBladeTrap,blocks,Electricity,,,Composite Blade Trap,,,,,,,,,,,,,,
bladeTrapDesc,blocks,Electricity,,,Used to chop up zombies into many pieces. Just add zombies and stir.,,,,,,,,,,,,,,
steelBladeTrap,blocks,Electricity,,,Steel Blade Trap,,,,,,,,,,,,,,
bladeTrapDesc,blocks,Electricity,,,Used to chop up zombies into many pieces. Just add zombies and stir.,,,,,,,,,,,,,,
stainlessSteelBladeTrap,blocks,Electricity,,,Reinforced Steel Blade Trap,,,,,,,,,,,,,,
bladeTrapDesc,blocks,Electricity,,,Used to chop up zombies into many pieces. Just add zombies and stir.,,,,,,,,,,,,,,
diamondBladeTrap,blocks,Electricity,,,Diamond Tipped Blade Trap,,,,,,,,,,,,,,
bladeTrapDesc,blocks,Electricity,,,Used to chop up zombies into many pieces. Just add zombies and stir.,,,,,,,,,,,,,,
diamondEndBladeTrap,blocks,Electricity,,,Vortex Blade Trap,,,,,,,,,,,,,,
bladeTrapDesc,blocks,Electricity,,,Used to chop up zombies into many pieces. Just add zombies and stir.,,,,,,,,,,,,,,
SteelBluedCoating,items,Item,,,Steeled is a dynamic metal covering, when applied correctly it can dramatically enhance the strength of steel,,,,,,,,,,,,,,
